pair_ID	lex_count_sw_s1	lex_count_sw_s2	lex_count_sw_dif	lex_overlap_rem_0sw	lex_overlap_rem_1sw	lex_overlap_rem_2sw	lex_overlap_rem_3sw	syn_count_dif_NPs	syn_count_dif_VPs	syn_count_dif_PPs	sentence1	sentence2	possentence1	possentence2
0	1.0	1.0	0.0	0.286	0.286	0.286	0.286	2.0	0.0	0.0	The Mack Daddy of Kriss Kross                                                                                                               	RIP former Kriss Kross member Chris Kelly                                                                                                   	The_DT Mack_NNP Daddy_NNP of_IN Kriss_NNP Kross_NNP                                                                                         	RIP_NNP former_JJ Kriss_NNP Kross_NNP member_NN Chris_NNP Kelly_NNP                                                                         
1	1.0	4.0	3.0	0.3	0.3	0.3	0.3	1.0	1.0	0.0	I liked that video body party                                                                                                               	that damn body party song is stuck in my head                                                                                               	I_PRP liked_VBD that_DT video_NN body_NN party_NN                                                                                           	that_DT damn_JJ body_NN party_NN song_NN is_VBZ stuck_VBN in_IN my_PRP$ head_NN                                                             
2	4.0	2.0	2.0	0.2	0.2	0.2	0.2	0.0	0.0	1.0	Second of all What the hell is Corey Brewer doing                                                                                           	Corey Brewer needs to go Dleague                                                                                                            	Second_JJ of_IN all_DT What_WP the_DT hell_NN is_VBZ Corey_NNP Brewer_NNP doing_VBG                                                         	Corey_NNP Brewer_NNP needs_VBZ to_TO go_VB Dleague_NN                                                                                       
3	3.0	6.0	3.0	0.167	0.091	0.091	0.091	4.0	0.0	0.0	That 3 by KDTrey5 was just ridiculous                                                                                                       	that 3 pointer was the highlight of all Houston sports this year                                                                            	That_DT 3_CD by_IN KDTrey5_NNP was_VBD just_RB ridiculous_JJ                                                                                	that_IN 3_CD pointer_NN was_VBD the_DT highlight_NN of_IN all_DT Houston_NNP sports_NNS this_DT year_NN                                     
4	4.0	7.0	3.0	0.091	0.091	0.091	0	3.0	1.0	1.0	Love to see Dortmund in the final                                                                                                           	Unbealivable of Real and Dortmund but Barca is not yet out                                                                                  	Love_VB to_TO see_VB Dortmund_NNP in_IN the_DT final_JJ                                                                                     	Unbealivable_NNP of_IN Real_NNP and_CC Dortmund_NNP but_CC Barca_NNP is_VBZ not_RB yet_RB out_IN                                            
5	0.0	6.0	6.0	0.143	0.143	0.143	0.143	2.0	1.0	0.0	Just saw Ray J s I Hit It First video                                                                                                       	That girl in the I hit it first video looks just like Kim k                                                                                 	Just_RB saw_VBD Ray_NNP J_NNP s_VBZ I_PRP Hit_VBP It_PRP First_RB video_NN                                                                  	That_DT girl_NN in_IN the_DT I_NN hit_VBD it_PRP first_JJ video_NN looks_VBZ just_RB like_IN Kim_NNP k_NN                                   
6	2.0	3.0	1.0	0.333	0.333	0.333	0.333	0.0	0.0	0.0	Dang Candice is amazing on idol                                                                                                             	Candice is such a lounge singer                                                                                                             	Dang_NNP Candice_NNP is_VBZ amazing_JJ on_IN idol_NN                                                                                        	Candice_NN is_VBZ such_JJ a_DT lounge_NN singer_NN                                                                                          
7	4.0	0.0	4.0	0	0	0	0	8.0	2.0	0.0	hello Stella can you follow me please                                                                                                       	PLEASE STELLA FOLLOW ME AND MY FRIENDS ashleyblove BeautyBenzo AshShaySe                                                                    	hello_UH Stella_UH can_MD you_PRP follow_VB me_PRP please_VB                                                                                	PLEASE_NNP STELLA_NNP FOLLOW_NNP ME_NNP AND_CC MY_NNP FRIENDS_NNPS ashleyblove_NN BeautyBenzo_NNP AshShaySe_.                               
8	4.0	2.0	2.0	0.375	0.375	0.375	0.375	0.0	0.0	0.0	Steve Gleason of the Saints is so inspirational                                                                                             	Steve Gleason is a true hero                                                                                                                	Steve_NNP Gleason_NNP of_IN the_DT Saints_NNP is_VBZ so_RB inspirational_JJ                                                                 	Steve_NNP Gleason_NNP is_VBZ a_DT true_JJ hero_NN                                                                                           
9	1.0	4.0	3.0	0.273	0.273	0.273	0.273	1.0	1.0	1.0	Did Kevin Martin miss the bus                                                                                                               	Kevin Martin came to get buckets pushing down the court hard                                                                                	Did_VBD Kevin_NNP Martin_NNP miss_VBP the_DT bus_NN                                                                                         	Kevin_NNP Martin_NNP came_VBD to_TO get_VB buckets_NNS pushing_VBG down_RP the_DT court_NN hard_RB                                          
10	5.0	2.0	3.0	0.091	0.091	0.091	0.091	1.0	1.0	0.0	If the Rams get Eddie lacey i will flip my shit                                                                                             	Jeff Fisher passed on Eddie Lacey with 1st pick                                                                                             	If_IN the_DT Rams_NNP get_VB Eddie_NNP lacey_JJ i_NN will_MD flip_VB my_PRP$ shit_NN                                                        	Jeff_NNP Fisher_NNP passed_VBD on_IN Eddie_NNP Lacey_NNP with_IN 1st_JJ pick_NN                                                             
11	3.0	3.0	0.0	0.111	0.111	0.125	0.125	1.0	0.0	0.0	Was that MC Hammer at the goldenstate game                                                                                                  	Are the jumper mc hammer pants still on style                                                                                               	Was_VBD that_DT MC_NNP Hammer_NNP at_IN the_DT goldenstate_NN game_NN                                                                       	Are_VBP the_DT jumper_NN mc_NN hammer_NN pants_NNS still_RB on_IN style_NN                                                                  
12	4.0	4.0	0.0	0.364	0.364	0.364	0.364	2.0	0.0	0.0	Second of all What the hell is Corey Brewer doing                                                                                           	Corey Brewer is single handily losing this game for the nuggets                                                                             	Second_JJ of_IN all_DT What_WP the_DT hell_NN is_VBZ Corey_NNP Brewer_NNP doing_VBG                                                         	Corey_NNP Brewer_NNP is_VBZ single_JJ handily_NN losing_VBG this_DT game_NN for_IN the_DT nuggets_NNS                                       
13	2.0	3.0	1.0	0.2	0.2	0.2	0.2	2.0	1.0	1.0	Moses taking Chelsea to the promise final                                                                                                   	Cam getting a bit excited at the Chelsea match sitdown                                                                                      	Moses_NNP taking_VBG Chelsea_NNP to_TO the_DT promise_NN final_JJ                                                                           	Cam_NNP getting_VBG a_DT bit_NN excited_VBN at_IN the_DT Chelsea_NNP match_NN sitdown_NN                                                    
14	1.0	1.0	0.0	0.25	0.25	0.25	0.25	1.0	2.0	0.0	Chelsea looking foward to amsterdam                                                                                                         	Have Chelsea actually managed to clone Rudd Gullit                                                                                          	Chelsea_NNP looking_VBG foward_RB to_TO amsterdam_NN                                                                                        	Have_VB Chelsea_NNP actually_RB managed_VBD to_TO clone_VB Rudd_NNP Gullit_NNP                                                              
15	4.0	2.0	2.0	0.286	0.286	0.286	0.286	1.0	0.0	0.0	Hiller is playing like the Hiller of old                                                                                                    	Hiller looks like Jonathon Quick did                                                                                                        	Hiller_NNP is_VBZ playing_VBG like_IN the_DT Hiller_NNP of_IN old_JJ                                                                        	Hiller_NNP looks_VBZ like_IN Jonathon_NNP Quick_NNP did_VBD                                                                                 
16	2.0	0.0	2.0	0.286	0.286	0.286	0.286	1.0	1.0	0.0	This Warriors and Nuggets game is amazing                                                                                                   	This warriors vs nuggets game poppin forreal                                                                                                	This_DT Warriors_NNS and_CC Nuggets_NNP game_NN is_VBZ amazing_JJ                                                                           	This_DT warriors_NNS vs_IN nuggets_NNS game_NN poppin_NN forreal_.                                                                          
17	2.0	2.0	0.0	0.25	0.25	0.25	0.25	2.0	0.0	0.0	Tony Parker s got the flu                                                                                                                   	Tony Parker said Steve Blake hold my dick                                                                                                   	Tony_NNP Parker_NNP s_VBZ got_VBD the_DT flu_NN                                                                                             	Tony_NNP Parker_NNP said_VBD Steve_NNP Blake_NNP hold_VBP my_PRP$ dick_NN                                                                   
18	1.0	3.0	2.0	0.364	0.364	0.364	0.364	0.0	0.0	0.0	RIP guitarist of Slayer band Jeff Hanneman                                                                                                  	RIP Jeff Hanneman the greatest American riff writer of all time                                                                             	RIP_NNP guitarist_NN of_IN Slayer_NNP band_NN Jeff_NNP Hanneman_NNP                                                                         	RIP_NNP Jeff_NNP Hanneman_NNP the_DT greatest_JJS American_JJ riff_NN writer_NN of_IN all_DT time_NN                                        
19	2.0	2.0	0.0	0.5	0.5	0.5	0.5	0.0	0.0	0.0	Aaron dobson is a smart pick                                                                                                                	Aaron Dobson is a fucking cutie                                                                                                             	Aaron_NNP dobson_NN is_VBZ a_DT smart_JJ pick_NN                                                                                            	Aaron_NNP Dobson_NNP is_VBZ a_DT fucking_JJ cutie_NN                                                                                        
20	4.0	1.0	3.0	0.222	0.222	0.222	0.222	0.0	1.0	0.0	Robert Woods have a big visit with the Bills                                                                                                	Giovanni Bernard and Robert Woods getting drafted                                                                                           	Robert_NNP Woods_NNP have_VBP a_DT big_JJ visit_NN with_IN the_DT Bills_NNS                                                                 	Giovanni_NNP Bernard_NNP and_CC Robert_NNP Woods_NNP getting_VBG drafted_VBN                                                                
21	4.0	5.0	1.0	0.462	0.462	0.462	0.462	1.0	1.0	0.0	david amerson cbnc state goes to the washington redskins with the 51st overall pick                                                         	David Amerson of NCSU goes to the Washington Redskins with the 51st pick                                                                    	david_JJ amerson_NN cbnc_NN state_NN goes_VBZ to_TO the_DT washington_NN redskins_VBZ with_IN the_DT 51st_JJ overall_JJ pick_NN             	David_NNP Amerson_NNP of_IN NCSU_NNP goes_VBZ to_TO the_DT Washington_NNP Redskins_NNP with_IN the_DT 51st_JJ pick_NN                       
22	5.0	5.0	0.0	0.455	0.455	0.455	0.455	1.0	0.0	0.0	Watching Bush library dedication awesome to see all the presidents together                                                                 	Awesome to see our 5 living presidents sharing the stage together                                                                           	Watching_VBG Bush_NNP library_NN dedication_NN awesome_JJ to_TO see_VB all_PDT the_DT presidents_NNS together_RB                            	Awesome_JJ to_TO see_VB our_PRP$ 5_CD living_NN presidents_NNS sharing_VBG the_DT stage_NN together_RB                                      
23	2.0	1.0	1.0	0.375	0.375	0.375	0.375	2.0	1.0	0.0	I love the fight with Judi vs Priscilla                                                                                                     	I wish Judi could fight                                                                                                                     	I_PRP love_VBP the_DT fight_NN with_IN Judi_NNP vs_IN Priscilla_NNP                                                                         	I_PRP wish_VBP Judi_NNP could_MD fight_VB                                                                                                   
